idx,last_known_institution,last_known_institution_name
0,https://openalex.org/I100005738,Brigham Young University
25149,https://openalex.org/I100019715,Australian Institute of Criminology
25244,https://openalex.org/I100051649,Privolzhsky Research Medical University
27875,https://openalex.org/I100060924,International Commission on Missing Persons
27911,https://openalex.org/I100063501,Brighton and Sussex Medical School
29852,https://openalex.org/I100066346,University of Stuttgart
59367,https://openalex.org/I100072489,Yeditepe University
62238,https://openalex.org/I10008193,Dharamsinh Desai University
62764,https://openalex.org/I100084298,University of Mendoza
63111,https://openalex.org/I100086675,Al-Hussein Bin Talal University
63767,https://openalex.org/I100098275,Engelhardt Institute of Molecular Biology
66432,https://openalex.org/I10011244,Huanggang Normal University
69954,https://openalex.org/I100116408,University of Port Harcourt
75831,https://openalex.org/I100135526,BGI Group (China)
80106,https://openalex.org/I100148100,International Commission on Missing Persons
80248,https://openalex.org/I100162341,Luminex (United States)
80418,https://openalex.org/I10017102,Agricultural University of Tirana
80851,https://openalex.org/I100188998,Harbin University of Science and Technology
97241,https://openalex.org/I100191712,Pepperdine University
100705,https://openalex.org/I100205273,Universidad Técnica Particular de Loja
102878,https://openalex.org/I100228500,International Commission on Missing Persons
103674,https://openalex.org/I100236772,St. Lawrence University
104573,https://openalex.org/I10024668,The Francis Crick Institute
111356,https://openalex.org/I100248960,Ashikaga University
111975,https://openalex.org/I100286613,Hunan Institute of Science and Technology
115550,https://openalex.org/I100288624,John Innes Centre
119490,https://openalex.org/I100292558,International Commission on Missing Persons
119718,https://openalex.org/I100294933,Nagoya Women's University
120045,https://openalex.org/I100296615,École Nationale de l’Aviation Civile
122591,https://openalex.org/I100301340,Quanta Technology (United States)
122821,https://openalex.org/I100352790,Abia State University
123989,https://openalex.org/I100357981,Wannan Medical College
132225,https://openalex.org/I100362151,Moorpark College
132288,https://openalex.org/I100363084,International Commission on Missing Persons
132318,https://openalex.org/I1003870,Universal College of Learning
132408,https://openalex.org/I100406981,Swiss German University
132939,https://openalex.org/I100417612,CJ CheilJedang (South Korea)
133389,https://openalex.org/I100445878,École Centrale de Nantes
135288,https://openalex.org/I100449311,Briar Cliff University
135393,https://openalex.org/I100467132,Barrick Gold (Canada)
135582,https://openalex.org/I10052268,New Mexico State University
