name,recipient,match 1,match 2,match 3,match 4,match 5
"(""caroline o'flaherty buckee"", 'HARVARD SCHOOL OF PUBLIC HEALTH')",,,,,
"('jay c buckey', 'DARTMOUTH COLLEGE')","['Jay C Buckey', 'Dartmouth College']","['Jay C Buckey', 'Dartmouth–Hitchcock Medical Center']","['J C Buckey', 'Dartmouth–Hitchcock Medical Center']","['J C Buckey', 'The University of Texas at Dallas']","['J C Buckey', 'University of Texas Health Science Center at Dallas']"
"('robert walter buckheit', 'IMQUEST BIOSCIENCES')","['Robert W Buckheit', 'Southern Research Institute']","['Robert W Buckheit', 'International Commission on Missing Persons']","['Robert W Buckheit', 'Duke University']","['Robert W Buckheit', 'University of Michigan–Ann Arbor']","['Robert W Buckheit', 'ImQuest BioSciences (United States)']"
"('bruce a buckingham ', 'STANFORD UNIVERSITY')","['Bruce A Buckingham', 'University of Nottingham']","['Bruce A Buckingham', 'University of Colorado Boulder']","['Bruce A Buckingham', 'Durham University']","['Bruce A Buckingham', 'VA Palo Alto Health Care System']","['Bruce A Buckingham', 'University of California System']"
"(' linda a dimeglio ', 'STANFORD UNIVERSITY')","['Linda A Dimeglio', 'University of South Florida']","['Linda A Dimeglio', 'University of Florida']","['Linda A DiMeglio', 'Emory University']","['Linda A DiMeglio', 'Riley Hospital for Children']","['Linda A DiMeglio', 'Indiana Clinical and Translational Sciences Institute']"
"(' kimberly driscoll ', 'STANFORD UNIVERSITY')","['Kimberly A Driscoll', 'University of Florida Health']","['Kimberly A Driscoll', 'University of Florida']","['Kimberly A Driscoll', 'University of Colorado Denver']",,
"(' korey k hood ', 'STANFORD UNIVERSITY')",,,,,
"(' robert slover', 'STANFORD UNIVERSITY')","['Robert Slover', 'Harvard University']","['Robert S Slover', 'University of Illinois at Chicago']","['Robert H Slover', 'University of Colorado Anschutz Medical Campus']","['Robert H Slover', 'University of Colorado Denver']","['Robert J Slover', 'University of Colorado Anschutz Medical Campus']"
"('andrew john buckler', 'ELUCID')","['Andrew J Buckler', 'Elucid Bioimaging']",,,,
"('david buckley', 'XENOTECH, LLC')","['David Buckley', 'University of Vermont']","['David Buckley', 'University of Southern California']","['David Buckley', 'Sydney South West Area Health Service']","['David Buckley', 'Memorial University of Newfoundland']","['David Buckley', 'University of Liverpool']"
"('mark raymond buckley', 'UNIVERSITY OF ROCHESTER')","['Mark  R Buckley', 'University of Rochester']","['Mark R Buckley', 'International Commission on Missing Persons']","['Mark R Buckley', 'University of Rochester Medical Center']","['Mark R Buckley', 'University of Rochester']","['Margaret Buckley', 'University of Miami']"
"('paul s buckmaster', 'STANFORD UNIVERSITY')","['Paul S Buckmaster', 'Stanford University']",,,,
"('jane hoyt buckner', 'BENAROYA RESEARCH INST AT VIRGINIA MASON')","['Janet A Buckner', 'University of Tennessee at Knoxville']",,,,
