display_name,recipient,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10
"('alicia gerke', 'UNIVERSITY OF IOWA')","['Alicia Gerke', 'University of Iowa']","['Alicia K Gerke', 'University of Iowa']","['Alicia K. Gerke,', 'University of Iowa']","['Alicia K. Gerke', 'University of Iowa']",null,null,null,null,null,null,
"('donald robert gerke', 'WASHINGTON UNIVERSITY')",null,null,null,null,null,null,null,null,null,null,
"('richard c gerkin', 'ARIZONA STATE UNIVERSITY-TEMPE CAMPUS')",null,null,null,null,null,null,null,null,null,null,
"('john a gerlt', 'UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN')","['John A. Gerlt', 'University of Illinois Urbana-Champaign']","['John A Gerlt', 'University of Illinois Urbana-Champaign']","['John A. Gerlt', 'University of Illinois Urbana-Champaign']","['John A. Gerlt', 'University of Illinois Urbana-Champaign']",null,null,null,null,null,null,
"('ronald n germain', 'NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES')","['Ronald N. Germain', 'National Institute of Allergy and Infectious Diseases']","['Ronald N Germain', 'National Institute of Allergy and Infectious Diseases']","['Ronald N. Germain', 'National Institute of Allergy and Infectious Diseases']","['Ronald N. Germain', 'National Institute of Allergy and Infectious Diseases']","['Ronald N. Germain', 'National Institute of Allergy and Infectious Diseases']","['Ronald N. Germain', 'National Institute of Allergy and Infectious Diseases']","['Ronald N Germain', 'National Institute of Allergy and Infectious Diseases']",null,null,null,
"('danielle german', 'JOHNS HOPKINS UNIVERSITY')",null,null,null,null,null,null,null,null,null,null,
"('michael s german', 'UNIVERSITY OF CALIFORNIA, SAN FRANCISCO')","['Michael S. German', 'University of California, San Francisco']","['MichaelS. German', 'University of California, San Francisco']",null,null,null,null,null,null,null,null,
"('gregory germino', 'NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES')","['Gregory G. Germino', 'National Institute of Diabetes and Digestive and Kidney Diseases']","['Gregory G. Germino', 'National Institute of Diabetes and Digestive and Kidney Diseases']","['Gregory G. Germino', 'National Institute of Diabetes and Digestive and Kidney Diseases']",null,null,null,null,null,null,null,
"('james e gern', 'UNIVERSITY OF WISCONSIN-MADISON')","['James E. Gern', 'University of Wisconsin–Madison']","['James E Gern', 'University of Wisconsin–Madison']","['James E. Gern', 'University of Wisconsin–Madison']","['James E. Gern', 'University of Wisconsin–Madison']","['James E Gern', 'University of Wisconsin–Madison']","['James E. Gern', 'University of Wisconsin–Madison']","['James E. Gern', 'University of Wisconsin–Madison']","['James E. Gern', 'University of Wisconsin–Madison']",null,null,
"('michael gerner', 'UNIVERSITY OF WASHINGTON')","['Michael Y. Gerner', 'University of Washington']",null,null,null,null,null,null,null,null,null,
